"","learn method","mmce","acc","auc","ce"
"116","classif.randomForest",0.111111111111111,0.888888888888889,0.807749627421759,0.615499254843517
"117","classif.rpart",0.125,0.875,0.780178837555887,0.560357675111773
"118","classif.glmnet",0.111111111111111,0.888888888888889,0.807004470938897,0.614008941877794
"119","classif.nnet",0.152777777777778,0.847222222222222,0.754843517138599,0.509687034277198
"120","classif.multinom",0.111111111111111,0.888888888888889,0.830849478390462,0.661698956780924
"121","classif.naiveBayes",0.222222222222222,0.777777777777778,0.608333333333333,0.216666666666667
"122","classif.svm",0.166666666666667,0.833333333333333,0.706944444444444,0.413888888888889
"123","classif.gbm",0.166666666666667,0.833333333333333,0.697916666666667,0.395833333333333
"124","classif.lda",0.208333333333333,0.791666666666667,0.694444444444444,0.388888888888889
"125","classif.mlp",0.166666666666667,0.833333333333333,0.515277777777778,0.0305555555555554
"126","classif.randomForest",0.166666666666667,0.833333333333333,0.727777777777778,0.455555555555555
"127","classif.rpart",0.208333333333333,0.791666666666667,0.625694444444444,0.251388888888889
"128","classif.glmnet",0.180555555555556,0.819444444444444,0.725,0.45
"129","classif.nnet",0.166666666666667,0.833333333333333,0.599305555555556,0.198611111111111
"130","classif.multinom",0.208333333333333,0.791666666666667,0.694444444444444,0.388888888888889
"131","classif.naiveBayes",0.152777777777778,0.847222222222222,0.745833333333333,0.491666666666667
"132","classif.svm",0.152777777777778,0.847222222222222,0.5625,0.125
"133","classif.gbm",0.166666666666667,0.833333333333333,0.758333333333333,0.516666666666667
"134","classif.lda",0.166666666666667,0.833333333333333,0.748611111111111,0.497222222222222
"135","classif.mlp",0.166666666666667,0.833333333333333,0.638194444444444,0.276388888888889
"136","classif.randomForest",0.152777777777778,0.847222222222222,0.772222222222222,0.544444444444445
"137","classif.rpart",0.194444444444444,0.805555555555556,0.679166666666667,0.358333333333333
"138","classif.glmnet",0.152777777777778,0.847222222222222,0.7625,0.525
"139","classif.nnet",0.152777777777778,0.847222222222222,0.677777777777778,0.355555555555556
"140","classif.multinom",0.152777777777778,0.847222222222222,0.747222222222222,0.494444444444444
"141","classif.naiveBayes",0.208333333333333,0.791666666666667,0.65625,0.3125
"142","classif.svm",0.111111111111111,0.888888888888889,0.43359375,-0.1328125
"143","classif.gbm",0.111111111111111,0.888888888888889,0.8017578125,0.603515625
"144","classif.lda",0.138888888888889,0.861111111111111,0.78125,0.5625
"145","classif.mlp",0.111111111111111,0.888888888888889,0.765625,0.53125
"146","classif.randomForest",0.125,0.875,0.763671875,0.52734375
"147","classif.rpart",0.111111111111111,0.888888888888889,0.6650390625,0.330078125
"148","classif.glmnet",0.111111111111111,0.888888888888889,0.7822265625,0.564453125
"149","classif.nnet",0.111111111111111,0.888888888888889,0.6416015625,0.283203125
"150","classif.multinom",0.125,0.875,0.791015625,0.58203125
"151","classif.naiveBayes",0.263888888888889,0.736111111111111,0.67741935483871,0.354838709677419
"152","classif.svm",0.166666666666667,0.833333333333333,0.612903225806452,0.225806451612903
"153","classif.gbm",0.138888888888889,0.861111111111111,0.726612903225806,0.453225806451613
"154","classif.lda",0.194444444444444,0.805555555555556,0.706451612903226,0.412903225806452
"155","classif.mlp",0.138888888888889,0.861111111111111,0.650806451612903,0.301612903225806
"156","classif.randomForest",0.180555555555556,0.819444444444444,0.670967741935484,0.341935483870968
"157","classif.rpart",0.236111111111111,0.763888888888889,0.624193548387097,0.248387096774193
"158","classif.glmnet",0.166666666666667,0.833333333333333,0.690322580645161,0.380645161290323
"159","classif.nnet",0.138888888888889,0.861111111111111,0.714516129032258,0.429032258064516
"160","classif.multinom",0.194444444444444,0.805555555555556,0.696774193548387,0.393548387096774
"161","classif.naiveBayes",0.150684931506849,0.849315068493151,0.86031746031746,0.720634920634921
"162","classif.svm",0.123287671232877,0.876712328767123,0.787301587301587,0.574603174603175
"163","classif.gbm",0.136986301369863,0.863013698630137,0.868253968253968,0.736507936507937
"164","classif.lda",0.150684931506849,0.849315068493151,0.885714285714286,0.771428571428571
"165","classif.mlp",0.136986301369863,0.863013698630137,0.76984126984127,0.53968253968254
"166","classif.randomForest",0.123287671232877,0.876712328767123,0.803968253968254,0.607936507936508
"167","classif.rpart",0.150684931506849,0.849315068493151,0.803174603174603,0.606349206349206
"168","classif.glmnet",0.123287671232877,0.876712328767123,0.887301587301587,0.774603174603175
"169","classif.nnet",0.136986301369863,0.863013698630137,0.746031746031746,0.492063492063492
"170","classif.multinom",0.150684931506849,0.849315068493151,0.887301587301587,0.774603174603175
"171","classif.naiveBayes",0.178082191780822,0.821917808219178,0.583333333333333,0.166666666666667
"172","classif.svm",0.136986301369863,0.863013698630137,0.302083333333333,-0.395833333333333
"173","classif.gbm",0.123287671232877,0.876712328767123,0.715277777777778,0.430555555555556
"174","classif.lda",0.136986301369863,0.863013698630137,0.704861111111111,0.409722222222222
"175","classif.mlp",0.123287671232877,0.876712328767123,0.65625,0.3125
"176","classif.randomForest",0.150684931506849,0.849315068493151,0.767361111111111,0.534722222222222
"177","classif.rpart",0.136986301369863,0.863013698630137,0.696180555555556,0.392361111111111
"178","classif.glmnet",0.123287671232877,0.876712328767123,0.708333333333333,0.416666666666667
"179","classif.nnet",0.123287671232877,0.876712328767123,0.6640625,0.328125
"180","classif.multinom",0.136986301369863,0.863013698630137,0.701388888888889,0.402777777777778
"181","classif.naiveBayes",0.194444444444444,0.805555555555556,0.805555555555556,0.611111111111111
"182","classif.svm",0.180555555555556,0.819444444444444,0.780555555555556,0.561111111111111
"183","classif.gbm",0.166666666666667,0.833333333333333,0.846527777777778,0.693055555555556
"184","classif.lda",0.180555555555556,0.819444444444444,0.838888888888889,0.677777777777778
"185","classif.mlp",0.166666666666667,0.833333333333333,0.704861111111111,0.409722222222222
"186","classif.randomForest",0.194444444444444,0.805555555555556,0.742361111111111,0.484722222222222
"187","classif.rpart",0.152777777777778,0.847222222222222,0.747916666666667,0.495833333333333
"188","classif.glmnet",0.180555555555556,0.819444444444444,0.844444444444444,0.688888888888889
"189","classif.nnet",0.180555555555556,0.819444444444444,0.7,0.4
"190","classif.multinom",0.180555555555556,0.819444444444444,0.834722222222222,0.669444444444445
"191","classif.naiveBayes",0.164383561643836,0.835616438356164,0.765079365079365,0.53015873015873
"192","classif.svm",0.136986301369863,0.863013698630137,0.552380952380952,0.104761904761905
"193","classif.gbm",0.136986301369863,0.863013698630137,0.795238095238095,0.59047619047619
"194","classif.lda",0.123287671232877,0.876712328767123,0.803174603174603,0.606349206349206
"195","classif.mlp",0.136986301369863,0.863013698630137,0.726190476190476,0.452380952380952
"196","classif.randomForest",0.136986301369863,0.863013698630137,0.795238095238095,0.59047619047619
"197","classif.rpart",0.136986301369863,0.863013698630137,0.724603174603175,0.449206349206349
"198","classif.glmnet",0.136986301369863,0.863013698630137,0.833333333333333,0.666666666666667
"199","classif.nnet",0.136986301369863,0.863013698630137,0.731746031746032,0.463492063492063
"200","classif.multinom",0.123287671232877,0.876712328767123,0.795238095238095,0.59047619047619
"201","classif.naiveBayes",0.180555555555556,0.819444444444444,0.733333333333333,0.466666666666667
"202","classif.svm",0.152777777777778,0.847222222222222,0.627777777777778,0.255555555555556
"203","classif.gbm",0.166666666666667,0.833333333333333,0.758333333333333,0.516666666666667
"204","classif.lda",0.180555555555556,0.819444444444444,0.773611111111111,0.547222222222222
"205","classif.mlp",0.166666666666667,0.833333333333333,0.675,0.35
"206","classif.randomForest",0.152777777777778,0.847222222222222,0.840972222222222,0.681944444444444
"207","classif.rpart",0.111111111111111,0.888888888888889,0.684722222222222,0.369444444444444
"208","classif.glmnet",0.166666666666667,0.833333333333333,0.773611111111111,0.547222222222222
"209","classif.nnet",0.152777777777778,0.847222222222222,0.715277777777778,0.430555555555556
"210","classif.multinom",0.152777777777778,0.847222222222222,0.772222222222222,0.544444444444445
"211","classif.naiveBayes",0.123287671232877,0.876712328767123,0.74266862170088,0.48533724340176
"212","classif.svm",0.150684931506849,0.849315068493151,0.641495601173021,0.282991202346041
"213","classif.gbm",0.150684931506849,0.849315068493151,0.731671554252199,0.463343108504399
"214","classif.lda",0.123287671232877,0.876712328767123,0.730938416422287,0.461876832844575
"215","classif.mlp",0.150684931506849,0.849315068493151,0.617302052785924,0.234604105571848
