FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput
read_only_operand, gcc-2.8.0\config\pa\pa.c, 18, 8, 5, 2, 5, 9, 1
simple_memory_operand, gcc-2.8.0\config\pdp11\pdp11.c, 32, 8, 12, 2, 23, 4, 1
compute_zdepi_operands, gcc-2.8.0\config\pa\pa.c, 27, 12, 7, 3, 5, 2, 1
output_move_const_single, gcc-2.8.0\config\m68k\m68k.c, 15, 2, 2, 1, 1, 1, 3
offsettable_memref_p, gcc-2.8.0\recog.c, 7, 1, 1, 0, 0, 28, 2
reg_overlap_mentioned_p, gcc-2.8.0\rtlanal.c, 36, 10, 11, 3, 21, 62, 5
output_asm_insn, gcc-2.8.0\final.c, 82, 29, 20, 5, 17, 108, 10
adj_offsettable_operand, gcc-2.8.0\recog.c, 35, 5, 5, 3, 6, 45, 8
split_double, gcc-2.8.0\final.c, 89, 12, 12, 3, 9, 25, 4
refers_to_regno_p, gcc-2.8.0\rtlanal.c, 80, 30, 19, 4, 49, 22, 2
output_file_start, gcc-2.8.0\config\m88k\m88k.c, 26, 4, 3, 1, 0, 6, 10
output_ascii, gcc-2.8.0\config\m88k\m88k.c, 55, 17, 10, 3, 29, 5, 2
compute_movstrsi_length, gcc-2.8.0\config\pa\pa.c, 20, 10, 5, 2, 0, 7, 1
order_regs_for_local_alloc, gcc-2.8.0\config\sparc\sparc.c, 11, 2, 2, 1, 0, 2, 1
output_function_prologue, gcc-2.8.0\config\m68k\m68k.c, 172, 153000, 35, 5, 8, 8, 5
output_and, gcc-2.8.0\config\m88k\m88k.c, 21, 7, 7, 1, 6, 4, 3
remove_useless_addtr_insns, gcc-2.8.0\config\pa\pa.c, 92, 2058, 16, 4, 11, 10, 8
get_insns, gcc-2.8.0\emit-rtl.c, 5, 1, 1, 0, 0, 83, 1
next_insn, gcc-2.8.0\emit-rtl.c, 13, 3, 3, 2, 0, 13, 1
find_regno_note, gcc-2.8.0\rtlanal.c, 19, 3, 4, 2, 3, 25, 2
reverse_condition, gcc-2.8.0\jump.c, 31, 11, 11, 1, 55, 31, 2
store_reg, gcc-2.8.0\config\pa\pa.c, 24, 2, 2, 1, 1, 4, 5
load_reg, gcc-2.8.0\config\pa\pa.c, 24, 2, 2, 1, 1, 5, 5
set_reg_plus_d, gcc-2.8.0\config\pa\pa.c, 22, 2, 2, 1, 1, 5, 5
leaf_function_p, gcc-2.8.0\final.c, 26, 11, 8, 2, 13, 11, 2
output_function_profiler, gcc-2.8.0\config\m88k\m88k.c, 54, 24, 7, 1, 3, 7, 4
get_last_insn, gcc-2.8.0\emit-rtl.c, 5, 1, 1, 0, 0, 67, 1
hppa_expand_prologue, gcc-2.8.0\config\pa\pa.c, 186, 39521616, 45, 4, 15, 13, 22
get_frame_size, gcc-2.8.0\function.c, 5, 1, 1, 0, 0, 36, 1
output_fp_move_double, gcc-2.8.0\config\sparc\sparc.c, 27, 7, 7, 3, 14, 2, 4
prev_real_insn, gcc-2.8.0\emit-rtl.c, 13, 3, 3, 2, 2, 15, 1
hppa_expand_epilogue, gcc-2.8.0\config\pa\pa.c, 112, 744, 22, 4, 12, 10, 9
return_addr_rtx, gcc-2.8.0\config\pa\pa.c, 34, 1, 1, 0, 0, 1, 12
copy_to_reg, gcc-2.8.0\explow.c, 11, 4, 3, 1, 0, 37, 5
gen_label_rtx, gcc-2.8.0\emit-rtl.c, 11, 1, 2, 0, 0, 91, 6
